chunk,reservoirs,water bodies,reservoir coordinates,,,,,water body coordinates,,,
130,0,1,,,,,,[  0.   0. 157. 157.],,,
131,0,1,,,,,,[  0.   0. 157. 157.],,,
132,0,1,,,,,,[  0.   0. 157. 157.],,,
133,0,1,,,,,,[  0.   0. 157. 157.],,,
134,0,1,,,,,,[  0.   0. 157. 157.],,,
135,0,1,,,,,,[  0.   0. 157. 157.],,,
136,0,1,,,,,,[  0.   0. 157. 157.],,,
137,0,1,,,,,,[  0.   0. 157. 157.],,,
138,0,1,,,,,,[  0.   0. 157. 157.],,,
139,0,1,,,,,,[  0.   0. 157. 157.],,,
140,0,0,,,,,,,,,
141,0,2,,,,,,[64.37   9.42  75.046 21.352],[ 4.396 26.69  15.386 35.796],,
142,0,0,,,,,,,,,
143,0,2,,,,,,[122.774  75.36  135.648  85.408],[141.928  66.254 149.778  72.534],,
144,0,0,,,,,,,,,
145,0,0,,,,,,,,,
146,0,1,,,,,,[144.126  23.55  150.72   35.168],,,
147,0,0,,,,,,,,,
148,0,3,,,,,,[13.816 52.752 19.154 60.916],[ 94.514  60.602 102.05   65.312],[103.306  59.66  110.528  67.196],
149,1,0,[ 67.196 123.716  77.558 129.054],,,,,,,,
150,2,2,[141.928 100.166 149.464 106.132],[150.72   97.026 157.    105.19 ],,,,[111.47  105.818 121.518 110.528],[112.412 112.726 120.89  118.064],,
151,1,0,[ 23.55  148.208  32.656 157.   ],,,,,,,,
152,0,0,,,,,,,,,
153,0,3,,,,,,[39.878 20.724 43.96  36.11 ],[34.854 48.67  41.762 64.998],[18.212 68.138 28.26  74.418],
154,0,0,,,,,,,,,
155,0,1,,,,,,[  0.   0. 157. 157.],,,
156,0,1,,,,,,[  0.   0. 157. 157.],,,
157,0,1,,,,,,[  0.   0. 157. 157.],,,
158,0,1,,,,,,[  0.   0. 157. 157.],,,
159,0,1,,,,,,[  0.   0. 157. 157.],,,
160,0,1,,,,,,[  0.   0. 157. 157.],,,
161,0,1,,,,,,[  0.   0. 157. 157.],,,
162,0,1,,,,,,[  0.   0. 157. 157.],,,
163,0,1,,,,,,[  0.   0. 157. 157.],,,
164,0,1,,,,,,[  0.   0. 157. 157.],,,
165,0,1,,,,,,[  0.   0. 157. 157.],,,
166,0,1,,,,,,[  0.   0. 157. 157.],,,
167,0,1,,,,,,[  0.   0. 157. 157.],,,
168,0,1,,,,,,[  0.   0. 157. 157.],,,
169,0,1,,,,,,[  0.   0. 157. 157.],,,
170,0,1,,,,,,[  0.   0. 157. 157.],,,
171,0,1,,,,,,[  0.   0. 157. 157.],,,
172,0,1,,,,,,[  0.   0. 157. 157.],,,
173,0,1,,,,,,[  0.   0. 157. 157.],,,
174,0,1,,,,,,[  0.   0. 157. 157.],,,
175,0,1,,,,,,[  0.   0. 157. 157.],,,
176,0,1,,,,,,[  0.   0. 157. 157.],,,
177,0,1,,,,,,[  0.   0. 157. 157.],,,
178,0,1,,,,,,[  0.   0. 157. 157.],,,
179,0,1,,,,,,[  0.   0. 157. 157.],,,
180,0,1,,,,,,[  0.   0. 157. 157.],,,
181,0,1,,,,,,[  0.   0. 157. 157.],,,
182,0,1,,,,,,[  0.   0. 157. 157.],,,
183,0,1,,,,,,[  0.   0. 157. 157.],,,
184,0,1,,,,,,[  0.   0. 157. 157.],,,
185,0,1,,,,,,[  0.   0. 157. 157.],,,
186,0,1,,,,,,[  0.   0. 157. 157.],,,
187,0,1,,,,,,[  0.   0. 157. 157.],,,
188,0,1,,,,,,[  0.   0. 157. 157.],,,
189,0,1,,,,,,[  0.   0. 157. 157.],,,
190,0,1,,,,,,[  0.   0. 157. 157.],,,
191,0,1,,,,,,[  0.   0. 157. 157.],,,
192,0,1,,,,,,[  0.   0. 157. 157.],,,
193,0,1,,,,,,[  0.   0. 157. 157.],,,
194,0,1,,,,,,[  0.   0. 157. 157.],,,
195,0,1,,,,,,[  0.   0. 157. 157.],,,
196,0,1,,,,,,[  0.   0. 157. 157.],,,
197,0,1,,,,,,[  0.   0. 157. 157.],,,
198,0,1,,,,,,[  0.   0. 157. 157.],,,
199,0,1,,,,,,[  0.   0. 157. 157.],,,
200,0,1,,,,,,[  0.   0. 157. 157.],,,
201,0,1,,,,,,[  0.   0. 157. 157.],,,
202,0,1,,,,,,[  0.   0. 157. 157.],,,
203,0,1,,,,,,[  0.   0. 157. 157.],,,
204,0,1,,,,,,[  0.   0. 157. 157.],,,
205,0,1,,,,,,[  0.   0. 157. 157.],,,
206,0,1,,,,,,[  0.   0. 157. 157.],,,
207,0,1,,,,,,[  0.   0. 157. 157.],,,
208,0,1,,,,,,[  0.   0. 157. 157.],,,
209,0,1,,,,,,[  0.   0. 157. 157.],,,
210,0,0,,,,,,,,,
211,1,2,[70.022 53.066 78.186 62.8  ],,,,,[25.434 80.698 32.342 88.234],[81.326 57.462 88.548 62.8  ],,
212,0,1,,,,,,[58.718 12.874 67.196 23.236],,,
213,2,1,[29.83  74.732 40.82  83.838],[ 92.316 136.904 105.19  151.348],,,,[31.714 50.868 42.39  64.998],,,
214,0,0,,,,,,,,,
215,0,0,,,,,,,,,
216,0,1,,,,,,[ 75.046 142.242  81.326 147.58 ],,,
217,0,0,,,,,,,,,
218,0,1,,,,,,[48.67  88.234 54.322 97.968],,,
219,1,1,[86.036 23.55  99.852 28.574],,,,,[124.658  99.538 132.194 108.016],,,
220,3,4,[39.878 10.676 47.414 14.444],[130.624  91.688 137.846  96.084],[ 60.602 152.918  70.022 157.   ],,,[25.12  10.676 37.994 20.096],[23.864 17.898 33.912 23.864],[23.864 27.318 29.516 31.4  ],[48.042 29.202 55.892 35.482]
221,1,2,[76.302 93.886 81.954 99.224],,,,,[10.676 31.714 12.56  38.622],[19.468 28.26  29.516 34.226],,
222,0,0,,,,,,,,,
223,1,2,[151.034  89.176 157.     95.142],,,,,[ 59.66  120.262  79.128 130.624],[ 64.998 110.842  77.558 118.692],,
224,0,2,,,,,,[13.502 18.84  30.144 43.332],[ 0.    11.304 13.816 42.39 ],,
225,0,1,,,,,,[  0.   0. 157. 157.],,,
226,0,1,,,,,,[  0.   0. 157. 157.],,,
227,0,1,,,,,,[  0.   0. 157. 157.],,,
228,0,1,,,,,,[  0.   0. 157. 157.],,,
229,0,1,,,,,,[  0.   0. 157. 157.],,,
230,0,1,,,,,,[  0.   0. 157. 157.],,,
231,0,1,,,,,,[  0.   0. 157. 157.],,,
232,0,1,,,,,,[  0.   0. 157. 157.],,,
233,0,1,,,,,,[  0.   0. 157. 157.],,,
234,0,1,,,,,,[  0.   0. 157. 157.],,,
235,0,1,,,,,,[  0.   0. 157. 157.],,,
236,0,1,,,,,,[  0.   0. 157. 157.],,,
237,0,1,,,,,,[  0.   0. 157. 157.],,,
238,0,1,,,,,,[  0.   0. 157. 157.],,,
239,0,1,,,,,,[  0.   0. 157. 157.],,,
240,0,1,,,,,,[  0.   0. 157. 157.],,,
241,0,1,,,,,,[  0.   0. 157. 157.],,,
242,0,1,,,,,,[  0.   0. 157. 157.],,,
243,0,1,,,,,,[  0.   0. 157. 157.],,,
244,0,1,,,,,,[  0.   0. 157. 157.],,,
245,0,1,,,,,,[  0.   0. 157. 157.],,,
246,0,1,,,,,,[  0.   0. 157. 157.],,,
247,0,1,,,,,,[  0.   0. 157. 157.],,,
248,0,1,,,,,,[  0.   0. 157. 157.],,,
249,0,1,,,,,,[  0.   0. 157. 157.],,,
250,0,1,,,,,,[  0.   0. 157. 157.],,,
251,0,1,,,,,,[  0.   0. 157. 157.],,,
252,0,1,,,,,,[  0.   0. 157. 157.],,,
253,0,1,,,,,,[  0.   0. 157. 157.],,,
254,0,1,,,,,,[  0.   0. 157. 157.],,,
255,0,1,,,,,,[  0.   0. 157. 157.],,,
256,0,1,,,,,,[  0.   0. 157. 157.],,,
257,0,1,,,,,,[  0.   0. 157. 157.],,,
258,0,1,,,,,,[  0.   0. 157. 157.],,,
259,0,1,,,,,,[  0.   0. 157. 157.],,,
260,0,1,,,,,,[  0.   0. 157. 157.],,,
261,0,1,,,,,,[  0.   0. 157. 157.],,,
262,0,1,,,,,,[  0.   0. 157. 157.],,,
263,0,1,,,,,,[  0.   0. 157. 157.],,,
264,0,1,,,,,,[  0.   0. 157. 157.],,,
265,0,1,,,,,,[  0.   0. 157. 157.],,,
266,0,1,,,,,,[  0.   0. 157. 157.],,,
267,0,1,,,,,,[  0.   0. 157. 157.],,,
268,0,1,,,,,,[  0.   0. 157. 157.],,,
269,0,1,,,,,,[  0.   0. 157. 157.],,,
270,0,1,,,,,,[  0.   0. 157. 157.],,,
271,0,1,,,,,,[  0.   0. 157. 157.],,,
272,0,1,,,,,,,,,
273,0,1,,,,,,,,,
274,0,1,,,,,,,,,
275,0,1,,,,,,,,,
276,0,1,,,,,,,,,
277,0,1,,,,,,,,,
278,0,1,,,,,,,,,
279,0,1,,,,,,,,,
280,1,1,[127.17   68.138 143.184  84.152],,,,,,,,
281,1,1,[122.146 111.156 130.938 123.402],,,,,,,,
282,0,1,,,,,,,,,
283,0,1,,,,,,,,,
284,0,1,,,,,,,,,
285,0,1,,,,,,,,,
286,0,1,,,,,,,,,
287,0,1,,,,,,,,,
288,2,1,[ 55.578 138.16   65.94  145.382],,,,,,,,
289,3,1,[ 90.432  64.998 100.48   75.046],[54.95  48.042 63.428 56.52 ],,,,,,,
290,2,1,[104.876 120.89  116.18  134.706],,,,,,,,
291,0,1,,,,,,,,,
292,1,1,[ 81.326  95.456  98.596 106.446],,,,,,,,
293,0,1,,,,,,,,,
294,0,1,,,,,,,,,
295,0,1,,,,,,,,,
296,0,1,,,,,,,,,
297,0,1,,,,,,,,,
298,0,1,,,,,,,,,
299,0,1,,,,,,,,,
300,0,1,,,,,,,,,
301,0,1,,,,,,,,,
302,0,1,,,,,,,,,
303,0,1,,,,,,,,,
304,0,1,,,,,,,,,
305,0,1,,,,,,,,,
306,0,1,,,,,,,,,
307,0,1,,,,,,,,,
308,0,1,,,,,,,,,
309,0,1,,,,,,,,,
310,0,1,,,,,,,,,
311,0,1,,,,,,,,,
312,0,1,,,,,,,,,
313,0,1,,,,,,,,,
314,0,1,,,,,,,,,
315,0,1,,,,,,,,,
316,0,1,,,,,,,,,
317,0,1,,,,,,,,,
318,0,1,,,,,,,,,
319,0,1,,,,,,,,,
320,0,1,,,,,,,,,
321,0,1,,,,,,,,,
322,0,1,,,,,,,,,
323,0,1,,,,,,,,,
324,0,1,,,,,,,,,
325,0,1,,,,,,,,,
326,0,1,,,,,,,,,
327,0,1,,,,,,,,,
328,0,1,,,,,,,,,
329,0,1,,,,,,,,,
330,0,1,,,,,,,,,
331,0,1,,,,,,,,,
332,0,1,,,,,,,,,
333,0,1,,,,,,,,,
334,0,1,,,,,,,,,
335,0,1,,,,,,,,,
336,0,1,,,,,,,,,
337,0,1,,,,,,,,,
338,0,1,,,,,,,,,
339,0,1,,,,,,,,,
340,0,1,,,,,,,,,
341,0,1,,,,,,,,,
342,0,1,,,,,,,,,
343,0,1,,,,,,,,,
344,0,1,,,,,,,,,
345,0,1,,,,,,,,,
346,0,1,,,,,,,,,
347,0,1,,,,,,,,,
348,0,1,,,,,,,,,
349,0,1,,,,,,,,,
350,1,1,[129.682   0.    150.092  11.304],,,,,,,,
351,0,1,,,,,,,,,
352,0,1,,,,,,,,,
353,0,1,,,,,,,,,
354,2,1,[46.158 40.506 59.66  52.752],,,,,,,,
355,0,1,,,,,,,,,
356,0,1,,,,,,,,,
357,0,1,,,,,,,,,
358,0,1,,,,,,,,,
359,1,1,[ 33.284 121.204  48.356 132.194],,,,,,,,
360,1,1,[124.972 127.798 131.252 142.556],,,,,,,,
361,1,1,[ 48.67  137.218  57.776 151.662],,,,,,,,
362,1,1,[ 0.    48.356 26.69  71.278],,,,,,,,
363,0,1,,,,,,,,,
364,0,1,,,,,,,,,
365,0,1,,,,,,,,,
366,0,1,,,,,,,,,
367,0,1,,,,,,,,,
368,0,1,,,,,,,,,
369,0,1,,,,,,,,,
370,0,1,,,,,,,,,
371,0,1,,,,,,,,,
372,0,1,,,,,,,,,
373,0,1,,,,,,,,,
374,0,1,,,,,,,,,
375,0,1,,,,,,,,,
376,0,1,,,,,,,,,
377,0,1,,,,,,,,,
378,0,1,,,,,,,,,
379,0,1,,,,,,,,,
380,0,1,,,,,,,,,
381,0,1,,,,,,,,,
382,0,1,,,,,,,,,
383,0,1,,,,,,,,,
384,0,1,,,,,,,,,
385,0,1,,,,,,,,,
386,0,1,,,,,,,,,
387,0,1,,,,,,,,,
388,0,1,,,,,,,,,
389,0,1,,,,,,,,,
390,0,1,,,,,,,,,
391,0,1,,,,,,,,,
392,0,1,,,,,,,,,
393,0,1,,,,,,,,,
394,0,1,,,,,,,,,
395,0,1,,,,,,,,,
396,0,1,,,,,,,,,
397,0,1,,,,,,,,,
398,0,1,,,,,,,,,
399,0,1,,,,,,,,,
400,0,1,,,,,,,,,
401,0,1,,,,,,,,,
402,0,1,,,,,,,,,
403,0,1,,,,,,,,,
404,0,1,,,,,,,,,
405,0,1,,,,,,,,,
406,0,1,,,,,,,,,
407,0,1,,,,,,,,,
408,0,1,,,,,,,,,
409,0,1,,,,,,,,,
410,0,1,,,,,,,,,
411,0,1,,,,,,,,,
412,0,1,,,,,,,,,
413,0,1,,,,,,,,,
414,0,1,,,,,,,,,
415,0,1,,,,,,,,,
416,0,1,,,,,,,,,
417,0,1,,,,,,,,,
418,0,1,,,,,,,,,
419,0,1,,,,,,,,,
420,1,1,[121.518  81.326 129.996  90.118],,,,,,,,
421,1,1,[33.284 16.014 48.356 24.806],,,,,,,,
422,1,1,[61.858  9.106 70.022 20.41 ],,,,,,,,
423,0,1,,,,,,,,,
424,0,1,,,,,,,,,
425,0,1,,,,,,,,,
426,0,1,,,,,,,,,
427,3,1,[139.416  99.852 154.488 107.388],[152.29  129.054 157.    135.648],,,,,,,
428,0,1,,,,,,,,,
429,0,1,,,,,,,,,
430,1,1,[17.27  32.342 29.516 40.192],,,,,,,,
431,0,1,,,,,,,,,
432,0,1,,,,,,,,,
433,0,1,,,,,,,,,
434,0,1,,,,,,,,,
435,0,1,,,,,,,,,
436,0,1,,,,,,,,,
437,0,1,,,,,,,,,
438,0,1,,,,,,,,,
439,0,1,,,,,,,,,
440,0,1,,,,,,,,,
441,0,1,,,,,,,,,
442,0,1,,,,,,,,,
443,0,1,,,,,,,,,
444,0,1,,,,,,,,,
445,0,1,,,,,,,,,
446,0,1,,,,,,,,,
447,0,1,,,,,,,,,
448,0,1,,,,,,,,,
449,0,1,,,,,,,,,
450,0,1,,,,,,,,,
451,0,1,,,,,,,,,
452,0,1,,,,,,,,,
453,0,1,,,,,,,,,
454,0,1,,,,,,,,,
455,0,1,,,,,,,,,
456,0,1,,,,,,,,,
457,0,1,,,,,,,,,
458,0,1,,,,,,,,,
459,0,1,,,,,,,,,
460,0,1,,,,,,,,,
461,0,1,,,,,,,,,
462,0,1,,,,,,,,,
463,0,1,,,,,,,,,
464,0,1,,,,,,,,,
465,0,1,,,,,,,,,
466,0,1,,,,,,,,,
467,0,1,,,,,,,,,
468,0,1,,,,,,,,,
469,0,1,,,,,,,,,
470,0,1,,,,,,,,,
471,0,1,,,,,,,,,
472,0,1,,,,,,,,,
473,0,1,,,,,,,,,
474,0,1,,,,,,,,,
475,0,1,,,,,,,,,
476,0,1,,,,,,,,,
477,0,1,,,,,,,,,
478,0,1,,,,,,,,,
479,0,1,,,,,,,,,
480,0,1,,,,,,,,,
481,0,1,,,,,,,,,
482,0,1,,,,,,,,,
483,0,1,,,,,,,,,
484,0,1,,,,,,,,,
485,0,1,,,,,,,,,
486,0,1,,,,,,,,,
487,0,1,,,,,,,,,
488,0,1,,,,,,,,,
489,0,1,,,,,,,,,
490,0,1,,,,,,,,,
491,0,1,,,,,,,,,
492,0,1,,,,,,,,,
493,0,1,,,,,,,,,
494,0,1,,,,,,,,,
495,0,1,,,,,,,,,
496,0,1,,,,,,,,,
497,1,1,[48.984 67.824 58.404 74.732],,,,,,,,
498,0,1,,,,,,,,,
499,0,1,,,,,,,,,
500,0,1,,,,,,,,,
501,0,1,,,,,,,,,
502,0,1,,,,,,,,,
503,0,1,,,,,,,,,
504,0,1,,,,,,,,,
505,0,1,,,,,,,,,
506,0,1,,,,,,,,,
507,0,1,,,,,,,,,
508,0,1,,,,,,,,,
509,0,1,,,,,,,,,
510,0,1,,,,,,,,,
511,0,1,,,,,,,,,
512,0,1,,,,,,,,,
513,0,1,,,,,,,,,
514,0,1,,,,,,,,,
515,0,1,,,,,,,,,
516,0,1,,,,,,,,,
517,0,1,,,,,,,,,
518,0,1,,,,,,,,,
519,0,1,,,,,,,,,
520,0,1,,,,,,,,,
521,0,1,,,,,,,,,
522,0,1,,,,,,,,,
523,0,1,,,,,,,,,
524,0,1,,,,,,,,,
525,0,1,,,,,,,,,
526,0,1,,,,,,,,,
527,0,1,,,,,,,,,
528,0,1,,,,,,,,,
529,0,1,,,,,,,,,
530,0,1,,,,,,,,,
531,0,1,,,,,,,,,
532,0,1,,,,,,,,,
533,0,1,,,,,,,,,
534,0,1,,,,,,,,,
535,0,1,,,,,,,,,
536,0,1,,,,,,,,,
537,0,1,,,,,,,,,
538,0,1,,,,,,,,,
539,0,1,,,,,,,,,
540,0,1,,,,,,,,,
541,0,1,,,,,,,,,
542,0,1,,,,,,,,,
543,0,1,,,,,,,,,
544,0,1,,,,,,,,,
545,0,1,,,,,,,,,
546,0,1,,,,,,,,,
547,0,1,,,,,,,,,
548,0,1,,,,,,,,,
549,0,1,,,,,,,,,
550,0,1,,,,,,,,,
551,0,1,,,,,,,,,
552,0,1,,,,,,,,,
553,0,1,,,,,,,,,
554,0,1,,,,,,,,,
555,0,1,,,,,,,,,
556,0,1,,,,,,,,,
557,0,1,,,,,,,,,
558,0,1,,,,,,,,,
559,0,1,,,,,,,,,
560,1,1,[121.204  46.786 134.392  57.148],,,,,,,,
561,0,1,,,,,,,,,
562,0,1,,,,,,,,,
563,0,1,,,,,,,,,
564,0,1,,,,,,,,,
565,0,1,,,,,,,,,
566,0,1,,,,,,,,,
567,1,1,[20.41  81.326 29.202 89.804],,,,,,,,
568,1,1,[86.036 63.742 98.596 73.476],,,,,,,,
569,0,1,,,,,,,,,
570,0,1,,,,,,,,,
571,1,1,[ 29.516 137.532  51.81  157.   ],,,,,,,,
572,1,1,[82.582  5.652 99.538 18.526],,,,,,,,
573,0,1,,,,,,,,,
574,0,1,,,,,,,,,
575,0,1,,,,,,,,,
576,0,1,,,,,,,,,
577,0,1,,,,,,,,,
578,0,1,,,,,,,,,
579,0,1,,,,,,,,,
580,0,1,,,,,,,,,
581,0,1,,,,,,,,,
582,0,1,,,,,,,,,
583,0,1,,,,,,,,,
584,0,1,,,,,,,,,
585,0,1,,,,,,,,,
586,0,1,,,,,,,,,
587,0,1,,,,,,,,,
588,0,1,,,,,,,,,
589,0,1,,,,,,,,,
590,0,1,,,,,,,,,
591,0,1,,,,,,,,,
592,0,1,,,,,,,,,
593,0,1,,,,,,,,,
594,0,1,,,,,,,,,
595,0,1,,,,,,,,,
596,0,1,,,,,,,,,
597,0,1,,,,,,,,,
598,0,1,,,,,,,,,
599,0,1,,,,,,,,,
600,0,1,,,,,,,,,
601,0,1,,,,,,,,,
602,0,1,,,,,,,,,
603,0,1,,,,,,,,,
604,0,1,,,,,,,,,
605,0,1,,,,,,,,,
606,0,1,,,,,,,,,
607,0,1,,,,,,,,,
608,0,1,,,,,,,,,
609,0,1,,,,,,,,,
610,0,1,,,,,,,,,
611,0,1,,,,,,,,,
612,0,1,,,,,,,,,
613,0,1,,,,,,,,,
614,0,1,,,,,,,,,
615,0,1,,,,,,,,,
616,0,1,,,,,,,,,
617,0,1,,,,,,,,,
618,0,1,,,,,,,,,
619,0,1,,,,,,,,,
620,0,1,,,,,,,,,
621,0,1,,,,,,,,,
622,0,1,,,,,,,,,
623,0,1,,,,,,,,,
624,0,1,,,,,,,,,
625,0,1,,,,,,,,,
626,0,1,,,,,,,,,
627,0,1,,,,,,,,,
628,0,1,,,,,,,,,
629,0,1,,,,,,,,,
630,1,1,[ 0.    51.182  6.908 56.52 ],,,,,,,,
631,0,1,,,,,,,,,
632,0,1,,,,,,,,,
633,0,1,,,,,,,,,
634,0,1,,,,,,,,,
635,0,1,,,,,,,,,
636,0,1,,,,,,,,,
637,1,1,[ 59.346 112.726  69.708 122.146],,,,,,,,
638,1,1,[ 83.838 128.426  98.596 141.3  ],,,,,,,,
639,2,1,[ 28.574 137.846  46.472 155.43 ],,,,,,,,
640,0,1,,,,,,,,,
641,0,1,,,,,,,,,
